Problem_Id	Problem_link	Category_1	Category_2	Category_3	Category_4	Dificulty 	Solved
1773K	https://codeforces.com/problemset/problem/1773/K	constructive algorithms				1900	
1773J	https://codeforces.com/problemset/problem/1773/J	constructive algorithms	math			2900	x58
1773I	https://codeforces.com/problemset/problem/1773/I	brute force	games	implementation	interactive	2500	
1773H	https://codeforces.com/problemset/problem/1773/H	binary search	interactive			2600	x217
1773G	https://codeforces.com/problemset/problem/1773/G	bitmasks	combinatorics	dp	fft	2800	
1773F	https://codeforces.com/problemset/problem/1773/F	constructive algorithms				800	x2891
1773E	https://codeforces.com/problemset/problem/1773/E	greedy	sortings			1400	
1773D	https://codeforces.com/problemset/problem/1773/D	combinatorics	flows	graph matchings	greedy	2600	x257
1773C	https://codeforces.com/problemset/problem/1773/C					3500	
1773B	https://codeforces.com/problemset/problem/1773/B	binary search	divide and conquer	hashing	implementation	2200	x520
1773A	https://codeforces.com/problemset/problem/1773/A	constructive algorithms	graph matchings	math	probabilities	1900	
1772G	https://codeforces.com/problemset/problem/1772/G	binary search	greedy	implementation	math	2200	x905
1772F	https://codeforces.com/problemset/problem/1772/F	constructive algorithms	dfs and similar	graphs	implementation	2000	
1772E	https://codeforces.com/problemset/problem/1772/E	games				1700	x4454
1772D	https://codeforces.com/problemset/problem/1772/D	constructive algorithms	math			1400	
1772C	https://codeforces.com/problemset/problem/1772/C	constructive algorithms	greedy	math		1000	x17237
1772B	https://codeforces.com/problemset/problem/1772/B	brute force	implementation			800	
1772A	https://codeforces.com/problemset/problem/1772/A	implementation				800	x28531
1771F	https://codeforces.com/problemset/problem/1771/F	binary search	bitmasks	data structures	hashing	2500	
1771E	https://codeforces.com/problemset/problem/1771/E	brute force	dp	implementation	two pointers	2500	x512
1771D	https://codeforces.com/problemset/problem/1771/D	brute force	data structures	dfs and similar	dp	2100	
1771C	https://codeforces.com/problemset/problem/1771/C	greedy	math	number theory		1600	x6102
1771B	https://codeforces.com/problemset/problem/1771/B	binary search	constructive algorithms	dp	two pointers	1400	
1771A	https://codeforces.com/problemset/problem/1771/A	combinatorics	math	sortings		900	x17356
1770H	https://codeforces.com/problemset/problem/1770/H	constructive algorithms				3500	
1770G	https://codeforces.com/problemset/problem/1770/G	divide and conquer	fft	math		3400	x99
1770F	https://codeforces.com/problemset/problem/1770/F	bitmasks	combinatorics	dp	math	3100	
1770E	https://codeforces.com/problemset/problem/1770/E	combinatorics	dfs and similar	dp	dsu	2400	x1036
1770D	https://codeforces.com/problemset/problem/1770/D	constructive algorithms	data structures	dfs and similar	dsu	2000	
1770C	https://codeforces.com/problemset/problem/1770/C	brute force	chinese remainder theorem	math	number theory	1700	x6819
1770B	https://codeforces.com/problemset/problem/1770/B	constructive algorithms				1000	
1770A	https://codeforces.com/problemset/problem/1770/A	brute force	greedy			1000	x18482
1769D3	https://codeforces.com/problemset/problem/1769/D3	*special problem	brute force			2300	
1769D2	https://codeforces.com/problemset/problem/1769/D2	*special problem	brute force			2200	x176
1769D1	https://codeforces.com/problemset/problem/1769/D1	*special problem	brute force	dp		1800	
1769C2	https://codeforces.com/problemset/problem/1769/C2	*special problem	dp			1300	x688
1769C1	https://codeforces.com/problemset/problem/1769/C1	*special problem	brute force	dp	greedy	1200	
1769B2	https://codeforces.com/problemset/problem/1769/B2	*special problem	binary search	brute force	math	1400	x732
1769B1	https://codeforces.com/problemset/problem/1769/B1	*special problem	brute force	implementation	math	1000	
1769A	https://codeforces.com/problemset/problem/1769/A	*special problem	math			800	x1551
1768F	https://codeforces.com/problemset/problem/1768/F	dp	greedy			2900	
1768E	https://codeforces.com/problemset/problem/1768/E	combinatorics	math	number theory		2300	x1351
1768D	https://codeforces.com/problemset/problem/1768/D	constructive algorithms	dfs and similar	graphs	greedy	1800	
1768C	https://codeforces.com/problemset/problem/1768/C	constructive algorithms	greedy	implementation	sortings	1300	x10323
1768B	https://codeforces.com/problemset/problem/1768/B	greedy	math			900	
1768A	https://codeforces.com/problemset/problem/1768/A	greedy	math	number theory		800	x23132
1767F	https://codeforces.com/problemset/problem/1767/F	data structures	trees			3100	
1767E	https://codeforces.com/problemset/problem/1767/E	bitmasks	brute force	dp	graphs	2500	x543
1767D	https://codeforces.com/problemset/problem/1767/D	combinatorics	constructive algorithms	dp	greedy	1500	
1767C	https://codeforces.com/problemset/problem/1767/C	data structures	dp			2100	x1845
1767B	https://codeforces.com/problemset/problem/1767/B	data structures	greedy	sortings		800	
1767A	https://codeforces.com/problemset/problem/1767/A	implementation				800	x17758
1766F	https://codeforces.com/problemset/problem/1766/F	flows				2800	
1766E	https://codeforces.com/problemset/problem/1766/E	binary search	brute force	data structures	divide and conquer	2300	x871
1766D	https://codeforces.com/problemset/problem/1766/D	math	number theory			1600	
1766C	https://codeforces.com/problemset/problem/1766/C	dp	implementation			1300	x9977
1766B	https://codeforces.com/problemset/problem/1766/B	implementation				1000	
1766A	https://codeforces.com/problemset/problem/1766/A	brute force	implementation			800	x18850
1765N	https://codeforces.com/problemset/problem/1765/N	greedy				1500	
1765M	https://codeforces.com/problemset/problem/1765/M	math	number theory			1000	x7488
1765L	https://codeforces.com/problemset/problem/1765/L	brute force	data structures	implementation		2400	
1765K	https://codeforces.com/problemset/problem/1765/K	greedy	math			1500	x3473
1765J	https://codeforces.com/problemset/problem/1765/J	graph matchings	math			2900	
1765I	https://codeforces.com/problemset/problem/1765/I	implementation	shortest paths			2800	x117
1765H	https://codeforces.com/problemset/problem/1765/H	binary search	graphs	greedy	implementation	2200	
1765G	https://codeforces.com/problemset/problem/1765/G	constructive algorithms	interactive	probabilities		2600	x235
1765F	https://codeforces.com/problemset/problem/1765/F	dp	geometry	probabilities		2200	
1765E	https://codeforces.com/problemset/problem/1765/E	brute force	math			1000	x6653
1765D	https://codeforces.com/problemset/problem/1765/D	binary search	constructive algorithms	two pointers		1700	
1765C	https://codeforces.com/problemset/problem/1765/C	combinatorics	dp	probabilities		2600	x201
1765B	https://codeforces.com/problemset/problem/1765/B	greedy				800	
1765A	https://codeforces.com/problemset/problem/1765/A	bitmasks	dsu	flows	graph matchings	2400	x476
1764H	https://codeforces.com/problemset/problem/1764/H	data structures				3400	
1764G3	https://codeforces.com/problemset/problem/1764/G3	binary search	interactive			3300	x219
1764G2	https://codeforces.com/problemset/problem/1764/G2	binary search	interactive			3000	
1764G1	https://codeforces.com/problemset/problem/1764/G1	binary search	interactive			2900	x308
1764F	https://codeforces.com/problemset/problem/1764/F	brute force	constructive algorithms	dfs and similar	dsu	2500	
1764E	https://codeforces.com/problemset/problem/1764/E	dp	greedy	sortings		2400	x960
1764D	https://codeforces.com/problemset/problem/1764/D	combinatorics	dp	math		2000	
1764C	https://codeforces.com/problemset/problem/1764/C	graphs	greedy			1400	x6867
1764B	https://codeforces.com/problemset/problem/1764/B	math	number theory			900	
1764A	https://codeforces.com/problemset/problem/1764/A	greedy				800	x14275
1763F	https://codeforces.com/problemset/problem/1763/F	data structures	dfs and similar	dp	dsu	3000	
1763E	https://codeforces.com/problemset/problem/1763/E	dp	graphs	math	number theory	2200	x1241
1763D	https://codeforces.com/problemset/problem/1763/D	combinatorics	dp	implementation	math	2200	
1763C	https://codeforces.com/problemset/problem/1763/C	brute force	constructive algorithms	greedy		2000	x4900
1763B	https://codeforces.com/problemset/problem/1763/B	binary search	brute force	data structures	implementation	1200	
